"Country Name","Country Code","Region","Income_Group",
"Australia","AUS","","Ingreso alto",
"Austria","AUT","","Ingreso alto",
"Bélgica","BEL","","Ingreso alto",
"Canadá","CAN","","Ingreso alto",
"Suiza","CHE","","Ingreso alto",
"Chile","CHL","","Ingreso alto",
"Colombia","COL","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"República Checa","CZE","","Ingreso alto",
"Alemania","DEU","","Ingreso alto",
"Dinamarca","DNK","","Ingreso alto",
"España","ESP","","Ingreso alto",
"Estonia","EST","","Ingreso alto",
"Finlandia","FIN","","Ingreso alto",
"Francia","FRA","","Ingreso alto",
"Reino Unido","GBR","","Ingreso alto",
"Grecia","GRC","","Ingreso alto",
"Hungría","HUN","","Ingreso alto",
"Irlanda","IRL","","Ingreso alto",
"Islandia","ISL","","Ingreso alto",
"Israel","ISR","","Ingreso alto",
"Italia","ITA","","Ingreso alto",
"Japón","JPN","","Ingreso alto",
"Corea, República de","KOR","","Ingreso alto",
"Lituania","LTU","","Ingreso alto",
"Luxemburgo","LUX","","Ingreso alto",
"Letonia","LVA","","Ingreso alto",
"México","MEX","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Países Bajos","NLD","","Ingreso alto",
"Noruega","NOR","","Ingreso alto",
"Nueva Zelandia","NZL","","Ingreso alto",
"Polonia","POL","","Ingreso alto",
"Portugal","PRT","","Ingreso alto",
"República Eslovaca","SVK","","Ingreso alto",
"Eslovenia","SVN","","Ingreso alto",
"Suecia","SWE","","Ingreso alto",
"Turquía","TUR","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Estados Unidos","USA","","Ingreso alto",
